TEAM,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PLAYERS,POS
Atlanta Hawks ,48,48,36.6,27.1,0.4,2.3,2.8,10.8,1.5,0.2,4.4,2.0,2.5,Trae Young, PG
Atlanta Hawks ,50,50,35.1,21.7,0.7,4.4,5.1,5.3,1.3,0.3,2.2,1.7,2.4,Dejounte Murray, SG
Atlanta Hawks ,51,8,29.0,16.8,0.6,2.7,3.3,2.7,1.3,0.3,1.1,2.4,2.4,Bogdan Bogdanovic, SG
Atlanta Hawks ,39,36,33.9,15.7,1.2,7.3,8.5,3.4,1.3,0.8,1.8,2.6,1.9,Jalen Johnson, SF
Atlanta Hawks ,29,24,28.4,14.4,0.6,3.2,3.8,1.4,0.8,0.3,1.5,2.8,0.9,De'Andre Hunter, SF
Atlanta Hawks ,52,40,32.6,13.6,2.6,4.0,6.6,1.4,0.9,0.1,0.8,1.5,1.7,Saddiq Bey, SF
Atlanta Hawks ,47,47,25.7,11.5,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,1.2,Clint Capela, C
Atlanta Hawks ,52,7,25.7,10.2,2.7,4.2,6.9,1.3,0.4,1.1,0.9,3.0,1.6,Onyeka Okongwu, PF
Atlanta Hawks ,16,0,7.8,3.9,0.6,1.8,2.3,0.4,0.1,0.6,0.5,1.1,0.8,Bruno Fernando, PF
Atlanta Hawks ,37,4,12.7,3.8,0.2,1.0,1.2,0.5,0.2,0.1,0.4,1.7,1.2,Garrison Mathews, SG
Atlanta Hawks ,19,0,10.6,2.7,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,1.8,Patty Mills, PG
Atlanta Hawks ,21,1,11.0,2.3,0.2,1.1,1.3,0.6,0.5,0.2,0.3,1.3,2.2,Wesley Matthews, SG
Atlanta Hawks ,18,0,7.3,2.1,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,0.7,AJ Griffin, F
Atlanta Hawks ,20,0,10.5,2.0,0.3,1.1,1.3,2.1,0.4,0.1,0.6,0.9,3.8,Trent Forrest, G
Atlanta Hawks ,4,0,5.5,1.8,0.5,1.0,1.5,0.3,0.0,0.0,0.0,0.3,INF,Kobe Bufkin, G
Atlanta Hawks ,9,0,5.8,1.6,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,0.0,Seth Lundy, G
Atlanta Hawks ,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,Mouhamed Gueye, F
Boston Celtics ,50,50,35.9,27.0,0.9,7.6,8.5,4.7,1.0,0.6,2.5,2.0,1.9,Jayson Tatum, SF
Boston Celtics ,49,49,33.3,22.0,1.1,4.4,5.6,3.7,1.1,0.6,2.4,2.6,1.5,Jaylen Brown, SG
Boston Celtics ,39,39,29.9,20.4,1.6,5.4,7.0,1.9,0.6,1.9,1.7,2.9,1.2,Kristaps Porzingis, C
Boston Celtics ,49,49,32.2,15.3,0.7,3.2,3.9,4.8,1.0,1.2,1.6,2.2,3.0,Derrick White, PG
Boston Celtics ,48,48,33.5,13.3,1.4,4.5,5.9,4.6,0.8,0.7,1.9,1.6,2.5,Jrue Holiday, PG
Boston Celtics ,52,5,21.5,8.1,0.6,2.7,3.3,1.0,0.4,0.3,0.5,1.3,1.9,Sam Hauser, SF
Boston Celtics ,53,0,20.6,7.8,0.9,2.3,3.2,2.8,0.4,0.1,0.6,1.2,4.8,Payton Pritchard, PG
Boston Celtics ,44,21,27.0,7.8,1.3,5.5,6.7,2.8,0.5,1.0,0.8,1.5,3.8,Al Horford, C
Boston Celtics ,37,2,14.8,4.9,1.8,2.0,3.8,0.8,0.4,1.0,0.4,1.3,1.9,Luke Kornet, C
Boston Celtics ,22,0,12.2,4.8,1.9,2.5,4.5,0.5,0.4,0.6,0.4,1.9,1.4,Neemias Queta, C
Boston Celtics ,34,0,10.9,3.7,1.0,1.8,2.9,0.7,0.4,0.1,0.3,1.1,2.1,Oshae Brissett, SF
Boston Celtics ,1,0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,INF,Drew Peterson, F
Boston Celtics ,19,1,6.4,2.8,0.6,1.0,1.6,0.4,0.3,0.3,0.5,0.7,0.9,Lamar Stevens, PF
Boston Celtics ,22,0,7.6,2.8,0.2,0.7,0.9,0.5,0.3,0.0,0.3,0.5,1.7,Svi Mykhailiuk, SG
Boston Celtics ,24,1,7.1,2.3,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,1.9,Dalano Banton G, G
Boston Celtics ,2,0,3.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,JD Davison, SG
Boston Celtics ,3,0,5.0,0.7,0.3,1.7,2.0,0.7,0.3,0.0,0.0,0.7,INF,Jordan Walsh, G
Brooklyn Nets ,52,52,35.3,21.8,0.8,4.1,4.9,3.7,0.9,0.4,2.3,1.6,1.6,Mikal Bridges, SF
Brooklyn Nets ,43,28,29.7,21.4,0.3,2.5,2.9,2.6,0.7,0.3,1.8,2.0,1.4,Cam Thomas, SG
Brooklyn Nets ,1,0,27.0,15.0,0.0,3.0,3.0,12.0,0.0,0.0,2.0,4.0,6.0,Dennis Schroder PG, PG
Brooklyn Nets ,40,40,28.5,13.9,1.1,3.6,4.7,2.6,0.8,0.3,1.0,1.9,2.7,Cameron Johnson, SF
Brooklyn Nets ,48,48,30.7,12.6,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,4.6,Spencer Dinwiddie, PG
Brooklyn Nets ,42,42,29.6,12.4,3.0,7.3,10.3,1.9,0.7,2.3,1.2,2.5,1.6,Nic Claxton, C
Brooklyn Nets ,32,0,18.4,11.7,0.3,1.8,2.0,1.5,0.7,0.3,1.1,1.2,1.4,Lonnie Walker IV, G
Brooklyn Nets ,43,32,28.7,9.0,1.7,3.1,4.8,1.5,0.7,0.6,0.8,2.3,1.9,Dorian Finney-Smith, PF
Brooklyn Nets ,2,0,17.5,7.5,1.0,0.5,1.5,0.5,1.5,0.5,1.0,1.5,0.5,Keon Johnson, G
Brooklyn Nets ,37,1,16.0,7.5,2.8,4.2,7.0,1.4,0.5,0.9,1.0,2.3,1.4,Day'Ron Sharpe, C
