TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,PLAYERS
Atlanta Hawks ,8.5,19.6,43.2,3.4,9.0,37.7,6.8,7.9,85.5,5.1,10.6,47.7,1.381,0.52,Trae Young
Atlanta Hawks ,8.3,17.7,46.6,2.3,6.2,37.2,2.9,3.4,83.1,5.9,11.5,51.7,1.225,0.53,Dejounte Murray
Atlanta Hawks ,6.0,14.0,42.6,3.1,8.4,36.7,1.7,1.9,90.8,2.9,5.6,51.4,1.196,0.54,Bogdan Bogdanovic
Atlanta Hawks ,6.2,11.9,52.5,1.2,3.4,36.6,2.0,2.6,74.8,5.0,8.5,58.7,1.320,0.58,Jalen Johnson
Atlanta Hawks ,4.9,10.4,47.0,1.9,4.6,41.0,2.7,3.1,87.8,3.0,5.8,51.8,1.384,0.56,De'Andre Hunter
Atlanta Hawks ,4.6,10.8,42.2,1.8,5.7,32.0,2.7,3.2,83.1,2.8,5.1,53.6,1.258,0.51,Saddiq Bey
Atlanta Hawks ,4.8,8.4,57.5,0.0,0.0,0.0,1.8,2.8,64.9,4.8,8.4,57.5,1.365,0.57,Clint Capela
Atlanta Hawks ,4.0,6.6,60.9,0.4,1.2,34.4,1.8,2.2,80.5,3.6,5.4,67.0,1.548,0.64,Onyeka Okongwu
Atlanta Hawks ,1.4,2.6,56.1,0.0,0.2,0.0,1.0,1.8,57.1,1.4,2.4,60.5,1.512,0.56,Bruno Fernando
Atlanta Hawks ,1.2,2.6,46.9,1.1,2.4,45.5,0.3,0.4,66.7,0.1,0.2,62.5,1.458,0.68,Garrison Mathews
Atlanta Hawks ,1.0,2.7,37.3,0.7,1.8,38.2,0.0,0.0,0.0,0.3,0.9,35.3,1.000,0.50,Patty Mills
Atlanta Hawks ,0.6,2.2,28.3,0.4,1.7,25.0,0.7,0.9,73.7,0.2,0.5,40.0,1.065,0.38,Wesley Matthews
Atlanta Hawks ,0.7,2.5,28.9,0.5,1.8,27.3,0.1,0.1,100.0,0.2,0.7,33.3,0.822,0.39,AJ Griffin
Atlanta Hawks ,0.8,2.4,31.9,0.1,0.4,28.6,0.4,0.5,80.0,0.7,2.0,32.5,0.851,0.34,Trent Forrest
Atlanta Hawks ,0.5,2.0,25.0,0.5,1.5,33.3,0.3,0.5,50.0,0.0,0.5,0.0,0.875,0.38,Kobe Bufkin
Atlanta Hawks ,0.4,1.9,23.5,0.3,1.4,23.1,0.3,0.4,75.0,0.1,0.4,25.0,0.824,0.32,Seth Lundy
Atlanta Hawks ,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00,Mouhamed Gueye
Boston Celtics ,9.2,19.4,47.4,3.0,8.4,36.2,5.6,6.8,82.0,6.2,11.0,56.0,1.392,0.55,Jayson Tatum
Boston Celtics ,8.6,17.3,49.5,2.0,5.7,34.5,3.0,4.1,71.9,6.6,11.6,56.9,1.277,0.55,Jaylen Brown
Boston Celtics ,6.8,12.9,52.9,1.8,5.1,36.0,4.9,5.8,84.5,5.0,7.8,63.7,1.579,0.60,Kristaps Porzingis
Boston Celtics ,5.3,11.6,45.6,2.6,6.7,39.1,2.1,2.4,88.8,2.7,5.0,54.3,1.318,0.57,Derrick White
Boston Celtics ,5.0,10.7,47.2,2.1,4.8,43.9,1.1,1.4,83.3,3.0,5.9,49.8,1.246,0.57,Jrue Holiday
Boston Celtics ,2.8,6.3,44.1,2.2,5.4,41.0,0.3,0.3,88.2,0.6,0.9,63.0,1.280,0.62,Sam Hauser
Boston Celtics ,2.8,6.6,42.8,1.7,4.5,37.3,0.6,0.7,81.1,1.2,2.1,54.5,1.195,0.55,Payton Pritchard
Boston Celtics ,2.9,6.2,47.2,1.6,4.1,40.2,0.3,0.4,83.3,1.3,2.1,60.9,1.266,0.61,Al Horford
Boston Celtics ,2.1,3.0,67.9,0.0,0.0,0.0,0.8,0.8,90.3,2.1,3.0,67.9,1.607,0.68,Luke Kornet
Boston Celtics ,2.0,3.4,60.8,0.0,0.0,0.0,0.7,0.9,75.0,2.0,3.4,60.8,1.419,0.61,Neemias Queta
Boston Celtics ,1.3,2.8,45.7,0.3,1.1,28.9,0.9,1.3,69.8,0.9,1.6,57.1,1.351,0.52,Oshae Brissett
Boston Celtics ,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000,1.50,Drew Peterson
Boston Celtics ,1.1,2.4,46.7,0.2,0.4,37.5,0.4,0.6,72.7,0.9,1.9,48.6,1.178,0.50,Lamar Stevens
Boston Celtics ,1.0,2.9,33.3,0.7,2.4,30.8,0.1,0.3,50.0,0.2,0.5,45.5,0.968,0.46,Svi Mykhailiuk
Boston Celtics ,0.8,2.1,37.3,0.1,0.7,12.5,0.7,0.8,80.0,0.7,1.5,48.6,1.098,0.39,Dalano Banton G
Boston Celtics ,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.000,0.00,JD Davison
